epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,141.002,1.29894,1.73219,0.26296,0.82444,1.1324,0.91538,0.48571,0.50889,0.30814,0.86752,0.43333,0.39665,0.27997,1.42315,2.44387,0.11051,0.96819,1.11847,0.00147721,0.00147721,0.00147721
117,142.148,1.37813,2.01403,0.27368,0.82967,1.09016,0.91538,0.48571,0.50889,0.30814,0.86752,0.43333,0.39665,0.27997,1.42315,2.44387,0.11051,0.96819,1.11847,0.00147556,0.00147556,0.00147556
118,143.35,1.31973,1.98449,0.27613,0.82626,1.09374,0.92196,0.4892,0.51117,0.31704,0.86058,0.40641,0.38524,0.27362,1.38972,2.61382,0.10961,0.96497,1.11447,0.00147391,0.00147391,0.00147391
119,144.531,1.23099,1.70907,0.25418,0.77359,1.1101,0.93862,0.48095,0.51618,0.32865,0.88861,0.39872,0.37866,0.27147,1.3288,2.67448,0.1105,0.89872,1.10074,0.00147226,0.00147226,0.00147226
120,145.715,1.20923,1.79565,0.25881,0.84432,1.08338,0.95039,0.47558,0.53011,0.32225,0.89765,0.40476,0.40611,0.28696,1.38184,2.47574,0.11006,0.89248,1.14309,0.00147061,0.00147061,0.00147061
121,147.206,1.27916,1.66844,0.24301,0.7995,1.10539,0.95039,0.47558,0.53011,0.32225,0.89765,0.40476,0.40611,0.28696,1.38184,2.47574,0.11006,0.89248,1.14309,0.00146896,0.00146896,0.00146896
122,148.375,1.26995,1.68723,0.24377,0.74912,1.11668,0.95021,0.47619,0.52831,0.32482,0.90115,0.40583,0.39962,0.26284,1.40612,2.46498,0.11099,0.89647,1.15838,0.00146731,0.00146731,0.00146731
123,149.522,1.20319,1.79963,0.23162,0.74505,1.08009,0.94992,0.47619,0.52229,0.32236,0.89259,0.40032,0.39909,0.26692,1.39267,2.50511,0.11008,0.88976,1.14536,0.00146566,0.00146566,0.00146566
124,150.715,1.2262,1.7475,0.26083,0.80391,1.11549,0.94247,0.47608,0.52368,0.32445,0.88924,0.39048,0.40265,0.26919,1.38778,2.59633,0.11074,0.89224,1.13923,0.00146401,0.00146401,0.00146401
125,151.861,1.29363,1.82601,0.28694,0.78857,1.10596,0.94247,0.47608,0.52368,0.32445,0.88924,0.39048,0.40265,0.26919,1.38778,2.59633,0.11074,0.89224,1.13923,0.00146236,0.00146236,0.00146236
126,153.053,1.22028,1.74281,0.23301,0.7276,1.07057,0.94229,0.47143,0.52351,0.32087,0.87284,0.39524,0.38879,0.2778,1.38437,2.67583,0.11021,0.89946,1.14012,0.00146071,0.00146071,0.00146071
127,154.2,1.25751,1.63956,0.24523,0.75485,1.06499,0.42178,0.57381,0.53613,0.32412,0.34217,0.4552,0.4005,0.28246,1.3855,2.75625,0.10985,0.90473,1.14187,0.00145906,0.00145906,0.00145906
128,155.387,1.21164,1.86478,0.23839,0.76885,1.07059,0.43029,0.62024,0.52811,0.32264,0.34775,0.47381,0.37645,0.26037,1.39251,2.91728,0.11158,0.90418,1.14516,0.00145741,0.00145741,0.00145741
129,156.528,1.24954,1.66132,0.23652,0.8026,1.13156,0.43029,0.62024,0.52811,0.32264,0.34775,0.47381,0.37645,0.26037,1.39251,2.91728,0.11158,0.90418,1.14516,0.00145576,0.00145576,0.00145576
130,157.714,1.25046,1.67403,0.24561,0.76251,1.07303,0.43538,0.69949,0.5194,0.32341,0.35636,0.46429,0.34584,0.23927,1.36041,3.0129,0.11256,0.91271,1.12004,0.00145411,0.00145411,0.00145411
131,158.902,1.23262,1.8054,0.26597,0.74743,1.096,0.45338,0.6767,0.51565,0.3202,0.36033,0.48214,0.34129,0.22777,1.33418,3.06937,0.1127,0.95781,1.09513,0.00145246,0.00145246,0.00145246
132,160.079,1.20958,1.58884,0.2497,0.7446,1.09572,0.45581,0.73921,0.50538,0.31779,0.39048,0.42798,0.33267,0.21979,1.32403,3.1514,0.11283,1.00953,1.08959,0.00145081,0.00145081,0.00145081
133,161.217,1.28192,1.74024,0.26271,0.75362,1.09871,0.45581,0.73921,0.50538,0.31779,0.39048,0.42798,0.33267,0.21979,1.32403,3.1514,0.11283,1.00953,1.08959,0.00144916,0.00144916,0.00144916
134,162.384,1.15898,1.73154,0.26162,0.73352,1.04669,0.51618,0.64048,0.52253,0.32964,0.41897,0.47143,0.3662,0.23738,1.32928,2.99177,0.11137,0.97957,1.09814,0.00144751,0.00144751,0.00144751
135,163.546,1.21142,1.74541,0.28033,0.78607,1.07937,0.50779,0.67024,0.55827,0.34786,0.43546,0.4869,0.37724,0.25399,1.33499,2.92458,0.10903,0.87957,1.10614,0.00144586,0.00144586,0.00144586
136,164.791,1.19921,1.66866,0.29304,0.77415,1.09011,0.4532,0.6321,0.55258,0.33567,0.37338,0.51071,0.38118,0.26858,1.36885,2.80837,0.10794,0.91059,1.1111,0.00144421,0.00144421,0.00144421
137,165.932,1.1469,1.64745,0.21728,0.72035,1.0283,0.4532,0.6321,0.55258,0.33567,0.37338,0.51071,0.38118,0.26858,1.36885,2.80837,0.10794,0.91059,1.1111,0.00144256,0.00144256,0.00144256
138,167.138,1.2128,1.71672,0.23218,0.72545,1.07559,0.93477,0.47619,0.55003,0.32867,0.86384,0.39524,0.3953,0.27326,1.4145,2.67541,0.10454,0.9108,1.13175,0.0014409,0.0014409,0.0014409
139,168.313,1.25559,1.5567,0.23893,0.7343,1.09362,0.93515,0.47926,0.56096,0.33107,0.86285,0.39524,0.39056,0.2742,1.39755,2.64847,0.10265,0.92874,1.12387,0.00143925,0.00143925,0.00143925
140,169.467,1.21247,1.73325,0.21655,0.74148,1.07569,0.93251,0.48095,0.55516,0.34374,0.87199,0.40132,0.40558,0.26846,1.36116,2.62711,0.10274,0.93119,1.10913,0.0014376,0.0014376,0.0014376
141,170.599,1.21781,1.64566,0.24894,0.73746,1.07904,0.93251,0.48095,0.55516,0.34374,0.87199,0.40132,0.40558,0.26846,1.36116,2.62711,0.10274,0.93119,1.10913,0.00143595,0.00143595,0.00143595
142,171.756,1.21589,1.55411,0.26807,0.74798,1.1049,0.93178,0.4822,0.55215,0.34146,0.88801,0.4,0.40232,0.26955,1.34721,2.63194,0.103,0.91526,1.10919,0.0014343,0.0014343,0.0014343
143,172.926,1.15931,1.44063,0.23473,0.71895,1.07529,0.42497,0.5369,0.53414,0.33358,0.35253,0.44167,0.38366,0.26127,1.37175,2.71958,0.1039,0.90516,1.12188,0.00143265,0.00143265,0.00143265
144,174.092,1.19529,1.57832,0.28169,0.78242,1.11289,0.53009,0.62024,0.6037,0.36677,0.47658,0.49286,0.4367,0.28635,1.40737,2.63774,0.1039,0.86949,1.13196,0.001431,0.001431,0.001431
145,175.256,1.19976,1.75094,0.23096,0.71632,1.05469,0.53009,0.62024,0.6037,0.36677,0.47658,0.49286,0.4367,0.28635,1.40737,2.63774,0.1039,0.86949,1.13196,0.00142935,0.00142935,0.00142935
146,176.455,1.24135,1.69531,0.26275,0.76124,1.09208,0.50496,0.57857,0.59223,0.36018,0.49179,0.49286,0.43285,0.291,1.41859,2.62455,0.10469,0.90158,1.1326,0.0014277,0.0014277,0.0014277
147,177.641,1.22708,1.8213,0.22579,0.77678,1.08766,0.56917,0.53214,0.57912,0.3596,0.51326,0.46071,0.45299,0.29742,1.40023,2.58054,0.10532,0.90282,1.13081,0.00142605,0.00142605,0.00142605
148,178.849,1.16317,1.46944,0.21708,0.69899,1.03702,0.54993,0.57381,0.53898,0.32383,0.5333,0.49286,0.41409,0.29119,1.4192,2.57565,0.10492,0.93256,1.14642,0.0014244,0.0014244,0.0014244
149,180.007,1.19924,1.65977,0.24884,0.7498,1.06181,0.54993,0.57381,0.53898,0.32383,0.5333,0.49286,0.41409,0.29119,1.4192,2.57565,0.10492,0.93256,1.14642,0.00142275,0.00142275,0.00142275
150,181.2,1.18157,1.54193,0.20782,0.74389,1.05062,0.48734,0.57381,0.52443,0.31945,0.42396,0.48333,0.39338,0.26993,1.42185,2.8279,0.10228,0.94224,1.15395,0.0014211,0.0014211,0.0014211
151,182.405,1.18923,1.57454,0.22461,0.74779,1.07349,0.59844,0.57857,0.56999,0.34514,0.48655,0.46429,0.39786,0.26279,1.38454,2.96501,0.10129,0.90676,1.11617,0.00141945,0.00141945,0.00141945
152,183.635,1.17546,1.71498,0.21477,0.80219,1.04007,0.73623,0.55619,0.59874,0.3623,0.66698,0.45,0.41188,0.27619,1.37472,2.81052,0.10091,0.85993,1.10873,0.0014178,0.0014178,0.0014178
153,184.786,1.14098,1.87166,0.25452,0.7645,1.06475,0.73623,0.55619,0.59874,0.3623,0.66698,0.45,0.41188,0.27619,1.37472,2.81052,0.10091,0.85993,1.10873,0.00141615,0.00141615,0.00141615
154,185.982,1.14326,1.7399,0.27803,0.75659,1.05397,0.62097,0.6,0.65166,0.39556,0.54043,0.42149,0.44892,0.30587,1.3748,2.54407,0.10192,0.87162,1.10432,0.0014145,0.0014145,0.0014145
155,187.19,1.26351,1.70452,0.24387,0.77732,1.07351,0.46661,0.62262,0.62367,0.38425,0.39461,0.4869,0.43072,0.28953,1.39043,2.68792,0.10611,1.041,1.11774,0.00141285,0.00141285,0.00141285
156,188.375,1.22343,1.70279,0.22138,0.7705,1.06675,0.44133,0.7119,0.59759,0.36521,0.40826,0.4869,0.40837,0.2673,1.42411,2.8034,0.11019,1.09622,1.11257,0.0014112,0.0014112,0.0014112
157,189.524,1.14587,1.89304,0.27088,0.8154,1.05564,0.44133,0.7119,0.59759,0.36521,0.40826,0.4869,0.40837,0.2673,1.42411,2.8034,0.11019,1.09622,1.11257,0.00140955,0.00140955,0.00140955
158,190.723,1.18727,1.57541,0.24253,0.72945,1.04628,0.52882,0.60119,0.55869,0.32932,0.59886,0.42262,0.41417,0.27404,1.47455,2.57814,0.10862,0.92027,1.12299,0.0014079,0.0014079,0.0014079
159,191.91,1.24557,1.64102,0.27566,0.72392,1.11284,0.44567,0.57381,0.5361,0.30488,0.36047,0.47024,0.41233,0.2696,1.52751,2.41349,0.10731,0.94434,1.14076,0.00140625,0.00140625,0.00140625
160,193.097,1.17868,1.64999,0.24103,0.72214,1.07447,0.92447,0.48172,0.52875,0.29668,0.89308,0.42015,0.42529,0.28656,1.54501,2.26513,0.10593,0.99838,1.15551,0.0014046,0.0014046,0.0014046
161,194.256,1.19335,1.59017,0.21851,0.70586,1.04367,0.92447,0.48172,0.52875,0.29668,0.89308,0.42015,0.42529,0.28656,1.54501,2.26513,0.10593,0.99838,1.15551,0.00140295,0.00140295,0.00140295
162,195.46,1.20758,1.6227,0.20094,0.72628,1.04424,0.94364,0.48727,0.53503,0.30711,0.8973,0.42372,0.42551,0.28614,1.50539,2.31491,0.10433,0.99601,1.1552,0.0014013,0.0014013,0.0014013
163,196.663,1.21752,1.78702,0.25077,0.76025,1.11203,0.94359,0.4868,0.54197,0.31023,0.90225,0.43111,0.42685,0.2887,1.47474,2.24396,0.10129,1.00612,1.15107,0.00139965,0.00139965,0.00139965
164,197.878,1.22473,1.86331,0.20706,0.78243,1.04456,0.93956,0.48095,0.52664,0.31266,0.89381,0.42857,0.41753,0.29122,1.46594,2.26906,0.09952,1.01447,1.14852,0.001398,0.001398,0.001398
165,199.069,1.21279,1.68506,0.24768,0.76723,1.08176,0.93956,0.48095,0.52664,0.31266,0.89381,0.42857,0.41753,0.29122,1.46594,2.26906,0.09952,1.01447,1.14852,0.00139635,0.00139635,0.00139635
166,200.355,1.19396,1.70339,0.24311,0.75296,1.03715,0.45638,0.5369,0.53043,0.31677,0.89619,0.4,0.41942,0.29188,1.4337,2.29381,0.10064,0.99325,1.12631,0.0013947,0.0013947,0.0013947
167,201.611,1.23807,1.7423,0.23523,0.75094,1.05821,0.51154,0.57619,0.50976,0.29716,0.41975,0.44048,0.38887,0.25742,1.39665,2.58603,0.1041,1.08207,1.11534,0.00139305,0.00139305,0.00139305
168,202.831,1.18538,1.77452,0.25047,0.72616,1.04689,0.40844,0.77614,0.496,0.30294,0.32475,0.56071,0.34354,0.23324,1.40537,2.85375,0.10733,1.50046,1.13089,0.00139139,0.00139139,0.00139139
169,203.999,1.21799,1.65363,0.19842,0.75231,1.02062,0.40844,0.77614,0.496,0.30294,0.32475,0.56071,0.34354,0.23324,1.40537,2.85375,0.10733,1.50046,1.13089,0.00138974,0.00138974,0.00138974
170,205.187,1.1287,1.65563,0.27652,0.8549,1.02915,0.40743,0.76548,0.5024,0.30148,0.31133,0.50428,0.33899,0.22915,1.40313,2.93146,0.11019,1.59243,1.1348,0.00138809,0.00138809,0.00138809
171,206.344,1.12945,1.69572,0.28951,0.78973,1.06659,0.41486,0.77012,0.5469,0.33266,0.39119,0.45238,0.36416,0.24787,1.39645,2.81215,0.10986,1.39081,1.12786,0.00138644,0.00138644,0.00138644
172,207.531,1.16746,1.72709,0.23448,0.77043,1.05514,0.51747,0.64734,0.57651,0.35166,0.43216,0.51195,0.39436,0.27421,1.40382,2.61827,0.10572,1.03097,1.10825,0.00138479,0.00138479,0.00138479
173,208.685,1.15294,1.6467,0.23746,0.73572,1.04376,0.51747,0.64734,0.57651,0.35166,0.43216,0.51195,0.39436,0.27421,1.40382,2.61827,0.10572,1.03097,1.10825,0.00138314,0.00138314,0.00138314
174,209.86,1.18751,1.61431,0.24262,0.75346,1.04538,0.54729,0.56381,0.55532,0.32754,0.40712,0.51667,0.4307,0.29778,1.45793,2.25687,0.10293,0.87513,1.11204,0.00138149,0.00138149,0.00138149
175,211.025,1.131,1.4938,0.22885,0.70919,1.02407,0.41036,0.54233,0.52458,0.30641,0.90687,0.42857,0.4242,0.30278,1.45376,2.10011,0.10337,0.88524,1.11272,0.00137984,0.00137984,0.00137984
176,212.214,1.14325,1.46285,0.24096,0.68597,1.05133,0.94058,0.48095,0.51903,0.31716,0.90558,0.44286,0.43844,0.31535,1.41078,2.03713,0.10277,0.90823,1.10011,0.00137819,0.00137819,0.00137819
177,213.396,1.17314,1.57066,0.20245,0.72705,1.06792,0.94058,0.48095,0.51903,0.31716,0.90558,0.44286,0.43844,0.31535,1.41078,2.03713,0.10277,0.90823,1.10011,0.00137654,0.00137654,0.00137654
178,214.603,1.14381,1.53862,0.2355,0.73978,1.04573,0.94237,0.48571,0.53001,0.32309,0.90896,0.44922,0.45388,0.32321,1.40531,2.0471,0.10108,0.92624,1.10305,0.00137489,0.00137489,0.00137489
179,215.779,1.17656,1.63361,0.21153,0.70503,1.05232,0.93638,0.49048,0.54051,0.32801,0.90621,0.44286,0.44517,0.31931,1.40197,2.08365,0.09967,0.9291,1.10701,0.00137324,0.00137324,0.00137324
180,216.946,1.17908,1.53933,0.23479,0.7283,1.05424,0.43863,0.49048,0.5436,0.33828,0.90767,0.44286,0.43512,0.31259,1.38567,2.13425,0.09852,0.88707,1.10925,0.00137159,0.00137159,0.00137159
181,218.094,1.11994,1.47482,0.1905,0.66574,1.0127,0.43863,0.49048,0.5436,0.33828,0.90767,0.44286,0.43512,0.31259,1.38567,2.13425,0.09852,0.88707,1.10925,0.00136994,0.00136994,0.00136994
182,219.27,1.19015,1.6026,0.20756,0.70992,1.04357,0.43658,0.58333,0.53802,0.34461,0.34077,0.475,0.41503,0.29893,1.37259,2.21078,0.09796,0.8524,1.11065,0.00136829,0.00136829,0.00136829
183,220.44,1.17867,1.47684,0.25605,0.79079,1.06835,0.4194,0.625,0.51198,0.32083,0.35138,0.48422,0.40798,0.28851,1.35782,2.2809,0.09818,0.86816,1.11106,0.00136664,0.00136664,0.00136664
184,221.626,1.15288,1.47995,0.24807,0.71593,1.03155,0.3977,0.70833,0.49898,0.30374,0.38447,0.38032,0.37125,0.26846,1.38076,2.58703,0.10123,0.97409,1.11704,0.00136499,0.00136499,0.00136499
185,222.766,1.15599,1.45899,0.23033,0.69727,1.04858,0.3977,0.70833,0.49898,0.30374,0.38447,0.38032,0.37125,0.26846,1.38076,2.58703,0.10123,0.97409,1.11704,0.00136334,0.00136334,0.00136334
186,223.934,1.14073,1.5038,0.24959,0.73056,1.06313,0.42836,0.55952,0.48681,0.29132,0.39606,0.34762,0.35966,0.25323,1.42401,2.8456,0.10474,1.03306,1.12814,0.00136169,0.00136169,0.00136169
187,225.117,1.20034,1.52911,0.26338,0.73007,1.06339,0.43743,0.54048,0.47994,0.28729,0.34733,0.4131,0.35571,0.24672,1.43672,2.9863,0.10696,1.05494,1.13212,0.00136004,0.00136004,0.00136004
188,226.292,1.18044,1.57275,0.21929,0.71578,1.03424,0.43922,0.55476,0.49298,0.29406,0.36681,0.40833,0.35798,0.25794,1.42625,2.97216,0.10653,1.00472,1.13252,0.00135839,0.00135839,0.00135839
189,227.448,1.1639,1.58538,0.26328,0.75441,1.08523,0.43922,0.55476,0.49298,0.29406,0.36681,0.40833,0.35798,0.25794,1.42625,2.97216,0.10653,1.00472,1.13252,0.00135674,0.00135674,0.00135674
190,228.646,1.10811,1.69393,0.23896,0.70806,1.02621,0.40212,0.57381,0.50484,0.30354,0.34316,0.4369,0.36774,0.27,1.41029,2.82804,0.10469,0.93671,1.13511,0.00135509,0.00135509,0.00135509
191,229.841,1.15508,1.66415,0.23118,0.70502,1.03775,0.39869,0.54167,0.52242,0.31236,0.37626,0.39098,0.37735,0.2784,1.40023,2.63529,0.10087,0.91531,1.13265,0.00135344,0.00135344,0.00135344
192,231.061,1.16235,1.59363,0.24601,0.80041,1.06513,0.4193,0.49486,0.52355,0.31724,0.38394,0.39385,0.38371,0.2832,1.37922,2.60576,0.09904,0.89581,1.12356,0.00135179,0.00135179,0.00135179
193,232.213,1.19985,1.5391,0.25503,0.84741,1.10762,0.4193,0.49486,0.52355,0.31724,0.38394,0.39385,0.38371,0.2832,1.37922,2.60576,0.09904,0.89581,1.12356,0.00135014,0.00135014,0.00135014
194,233.412,1.1582,1.54261,0.23396,0.70267,1.04594,0.94126,0.46667,0.51569,0.31633,0.90295,0.39543,0.40111,0.29081,1.36382,2.44287,0.09765,0.89998,1.1135,0.00134849,0.00134849,0.00134849
195,234.593,1.07488,1.37179,0.20408,0.67066,1.01626,0.94373,0.46667,0.50713,0.30913,0.89319,0.40476,0.38682,0.28387,1.37289,2.45511,0.09676,0.9047,1.12378,0.00134684,0.00134684,0.00134684
196,235.784,1.13563,1.53704,0.26738,0.74142,1.06842,0.94058,0.48571,0.50375,0.29859,0.90155,0.39524,0.38279,0.2815,1.41503,2.44612,0.09669,0.91214,1.13854,0.00134519,0.00134519,0.00134519
197,236.901,1.17823,1.5729,0.21596,0.69541,1.02787,0.94058,0.48571,0.50375,0.29859,0.90155,0.39524,0.38279,0.2815,1.41503,2.44612,0.09669,0.91214,1.13854,0.00134354,0.00134354,0.00134354
198,238.09,1.12645,1.47214,0.24503,0.71732,1.05864,0.94566,0.46867,0.49798,0.28943,0.90375,0.39952,0.38216,0.27616,1.44719,2.47376,0.09804,0.93401,1.1471,0.00134188,0.00134188,0.00134188
199,239.263,1.09116,1.44895,0.25273,0.69102,1.0398,0.41007,0.49942,0.49525,0.27669,0.88561,0.38526,0.36382,0.26087,1.48415,2.49118,0.09962,0.94019,1.15889,0.00134023,0.00134023,0.00134023
200,240.426,1.17218,1.60651,0.22673,0.75508,1.05439,0.40588,0.5,0.49892,0.27687,0.3739,0.39048,0.37654,0.26359,1.49097,2.46026,0.10208,0.91892,1.18224,0.00133858,0.00133858,0.00133858
201,241.557,1.17466,1.59566,0.2017,0.68907,1.0179,0.40588,0.5,0.49892,0.27687,0.3739,0.39048,0.37654,0.26359,1.49097,2.46026,0.10208,0.91892,1.18224,0.00133693,0.00133693,0.00133693
202,242.744,1.1209,1.36728,0.26221,0.6987,1.0751,0.41517,0.48939,0.49953,0.27968,0.38736,0.38571,0.37116,0.25893,1.47456,2.40219,0.10392,0.92273,1.18731,0.00133528,0.00133528,0.00133528
203,243.938,1.16137,1.59321,0.24094,0.75459,1.04512,0.92615,0.48095,0.50475,0.29104,0.90325,0.39524,0.38442,0.27206,1.45521,2.2647,0.10538,0.90101,1.16092,0.00133363,0.00133363,0.00133363
204,245.15,1.09434,1.36126,0.19782,0.66663,1.0207,0.39347,0.53039,0.50044,0.29974,0.33976,0.45896,0.38368,0.27334,1.43526,2.23286,0.10521,0.88658,1.13678,0.00133198,0.00133198,0.00133198
205,246.288,1.16789,1.45603,0.22719,0.67774,1.05951,0.39347,0.53039,0.50044,0.29974,0.33976,0.45896,0.38368,0.27334,1.43526,2.23286,0.10521,0.88658,1.13678,0.00133033,0.00133033,0.00133033
206,247.495,1.15803,1.6653,0.21321,0.73458,1.02495,0.43402,0.52738,0.50157,0.30342,0.38065,0.46071,0.39405,0.27802,1.41957,2.21192,0.10574,0.88511,1.12895,0.00132868,0.00132868,0.00132868
207,248.681,1.22569,1.46141,0.24995,0.71717,1.13336,0.45233,0.57857,0.50755,0.30793,0.39203,0.47024,0.39562,0.27153,1.40603,2.30745,0.10525,0.87512,1.13732,0.00132703,0.00132703,0.00132703
208,249.874,1.14064,1.44023,0.2147,0.66761,1.05599,0.42118,0.62024,0.50987,0.30723,0.38817,0.45595,0.383,0.26258,1.41518,2.44209,0.10532,0.87649,1.13847,0.00132538,0.00132538,0.00132538
209,251.05,1.13829,1.45858,0.19447,0.67895,1.02345,0.42118,0.62024,0.50987,0.30723,0.38817,0.45595,0.383,0.26258,1.41518,2.44209,0.10532,0.87649,1.13847,0.00132373,0.00132373,0.00132373
210,252.232,1.16562,1.51172,0.23033,0.69165,1.06376,0.48908,0.53214,0.5182,0.31315,0.42636,0.45595,0.38292,0.2778,1.42259,2.40029,0.10372,0.86304,1.12501,0.00132208,0.00132208,0.00132208
211,253.412,1.16924,1.48388,0.23999,0.70506,1.05656,0.56987,0.53065,0.54194,0.32138,0.51487,0.45595,0.3916,0.28628,1.43002,2.42594,0.10206,0.86969,1.12262,0.00132043,0.00132043,0.00132043
212,254.589,1.1126,1.4535,0.25614,0.67266,1.02688,0.46522,0.65903,0.53621,0.31891,0.52393,0.46548,0.40217,0.28392,1.42,2.41099,0.09951,0.87389,1.13299,0.00131878,0.00131878,0.00131878
213,255.76,1.14365,1.48872,0.22233,0.69985,1.039,0.46522,0.65903,0.53621,0.31891,0.52393,0.46548,0.40217,0.28392,1.42,2.41099,0.09951,0.87389,1.13299,0.00131713,0.00131713,0.00131713
214,256.941,1.13236,1.4272,0.18433,0.66896,1.01071,0.48031,0.6619,0.53478,0.3193,0.40909,0.53452,0.39645,0.28756,1.39719,2.42505,0.09828,0.87131,1.12886,0.00131548,0.00131548,0.00131548
215,258.108,1.13905,1.27809,0.20466,0.68987,1.03148,0.47375,0.64762,0.52814,0.31351,0.41887,0.49286,0.38237,0.2841,1.39716,2.4346,0.09785,0.898,1.12481,0.00131383,0.00131383,0.00131383
216,259.3,1.14189,1.37908,0.19984,0.67891,1.02736,0.53324,0.58371,0.52686,0.31589,0.45739,0.4869,0.3783,0.27178,1.39981,2.74565,0.09993,1.01492,1.12571,0.00131218,0.00131218,0.00131218
217,260.516,1.1457,1.53069,0.19462,0.6918,1.02208,0.53324,0.58371,0.52686,0.31589,0.45739,0.4869,0.3783,0.27178,1.39981,2.74565,0.09993,1.01492,1.12571,0.00131053,0.00131053,0.00131053
218,261.7,1.14805,1.45502,0.23134,0.67255,1.05823,0.53797,0.59814,0.53989,0.3204,0.45493,0.43154,0.3726,0.27305,1.40196,2.82089,0.10148,1.05817,1.12956,0.00130888,0.00130888,0.00130888
219,262.885,1.13495,1.4073,0.22558,0.68289,1.0473,0.52542,0.62826,0.53125,0.31,0.42225,0.47262,0.36905,0.26973,1.42405,2.93288,0.10298,1.01867,1.14623,0.00130723,0.00130723,0.00130723
220,264.124,1.09935,1.51272,0.21353,0.7138,1.03893,0.55639,0.65595,0.55148,0.32025,0.4259,0.49643,0.37946,0.27868,1.43986,2.91214,0.10238,0.97448,1.14427,0.00130558,0.00130558,0.00130558
221,265.298,1.09384,1.40737,0.22551,0.68823,1.03807,0.55639,0.65595,0.55148,0.32025,0.4259,0.49643,0.37946,0.27868,1.43986,2.91214,0.10238,0.97448,1.14427,0.00130393,0.00130393,0.00130393
222,266.482,1.05411,1.41687,0.19062,0.63359,1.02063,0.51653,0.65119,0.53087,0.31571,0.40607,0.49643,0.37737,0.28095,1.44822,2.85007,0.10299,0.98215,1.14764,0.00130228,0.00130228,0.00130228
223,267.688,1.09915,1.41356,0.2168,0.66032,1.04923,0.48372,0.68904,0.52209,0.30793,0.4004,0.43338,0.36582,0.26905,1.45961,2.8962,0.10362,1.0048,1.1531,0.00130063,0.00130063,0.00130063
224,268.861,1.14132,1.44849,0.20433,0.66747,1.02014,0.47061,0.66958,0.5075,0.29743,0.36882,0.47183,0.35208,0.26123,1.45799,2.99031,0.10363,1.09719,1.15067,0.00129898,0.00129898,0.00129898
225,270.028,1.11704,1.41339,0.18642,0.66107,1.01377,0.47061,0.66958,0.5075,0.29743,0.36882,0.47183,0.35208,0.26123,1.45799,2.99031,0.10363,1.09719,1.15067,0.00129733,0.00129733,0.00129733
226,271.216,1.12274,1.33723,0.1976,0.66796,1.03876,0.45547,0.64524,0.49241,0.28781,0.40187,0.48571,0.36265,0.26327,1.43408,2.95791,0.10466,1.17207,1.13874,0.00129568,0.00129568,0.00129568
227,272.382,1.10682,1.44825,0.21982,0.67312,1.02381,0.40549,0.63082,0.45779,0.27295,0.40016,0.4381,0.34174,0.24205,1.39864,3.03302,0.11063,1.50358,1.12286,0.00129403,0.00129403,0.00129403
228,273.59,1.09879,1.33812,0.25236,0.64898,1.0428,0.44586,0.62976,0.49239,0.29858,0.4086,0.4727,0.36679,0.24354,1.39373,3.11568,0.11538,1.69484,1.10786,0.00129238,0.00129238,0.00129238
229,274.757,1.06469,1.27623,0.19579,0.64881,1.04043,0.44586,0.62976,0.49239,0.29858,0.4086,0.4727,0.36679,0.24354,1.39373,3.11568,0.11538,1.69484,1.10786,0.00129072,0.00129072,0.00129072
230,275.955,1.08213,1.49491,0.20743,0.68462,1.01079,0.41989,0.63618,0.49736,0.31048,0.40843,0.48056,0.36393,0.24542,1.37638,3.09368,0.11146,1.40484,1.10069,0.00128907,0.00128907,0.00128907
231,277.124,1.08701,1.30147,0.18795,0.66286,1.01873,0.47531,0.69816,0.51883,0.31963,0.38273,0.4869,0.37203,0.27209,1.34551,2.79388,0.10372,0.97416,1.10188,0.00128742,0.00128742,0.00128742
232,278.31,1.08562,1.30823,0.26239,0.6587,1.04746,0.42868,0.61444,0.52931,0.32728,0.34334,0.48333,0.39013,0.2936,1.36052,2.64223,0.10025,0.9066,1.11407,0.00128577,0.00128577,0.00128577
233,279.441,1.03801,1.34133,0.18044,0.62778,1.02089,0.42868,0.61444,0.52931,0.32728,0.34334,0.48333,0.39013,0.2936,1.36052,2.64223,0.10025,0.9066,1.11407,0.00128412,0.00128412,0.00128412
234,280.606,1.077,1.32572,0.18223,0.62434,1.00576,0.41718,0.53214,0.53412,0.31967,0.36923,0.40336,0.39675,0.30266,1.38685,2.54761,0.09915,0.92472,1.12037,0.00128247,0.00128247,0.00128247
235,281.777,1.09623,1.34689,0.19337,0.64829,0.99805,0.44065,0.55507,0.54346,0.32015,0.39041,0.37619,0.40364,0.3069,1.41143,2.49248,0.09903,0.9399,1.12342,0.00128082,0.00128082,0.00128082
236,282.982,1.10617,1.55581,0.1992,0.64684,1.0294,0.44043,0.56858,0.53435,0.31264,0.38907,0.38571,0.39596,0.29812,1.42838,2.3956,0.09928,0.94106,1.13215,0.00127917,0.00127917,0.00127917
