epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,39.4868,1.50932,3.48156,0.31737,1.01905,1.16707,0.37587,0.65238,0.50642,0.30806,0.79417,0.31429,0.2621,0.12357,1.31996,3.96378,0.23332,0.99502,1.07957,0.00129927,0.00129927,0.00129927
28,40.5587,1.45988,3.56169,0.32791,1.10938,1.16729,0.35863,0.65238,0.51068,0.29617,0.27618,0.31143,0.26182,0.12306,1.38804,3.92914,0.24443,1.00308,1.11716,0.00134663,0.00134663,0.00134663
29,41.6171,1.44969,3.48238,0.36503,1.05285,1.18366,0.35863,0.65238,0.51068,0.29617,0.27618,0.31143,0.26182,0.12306,1.38804,3.92914,0.24443,1.00308,1.11716,0.00139388,0.00139388,0.00139388
30,42.6812,1.43455,3.08081,0.34866,1.02418,1.17261,0.36573,0.71279,0.51823,0.30561,0.24247,0.5,0.28738,0.12937,1.40265,3.85174,0.24705,0.96623,1.12836,0.00144103,0.00144103,0.00144103
31,43.752,1.31645,3.1803,0.33967,0.9507,1.1347,0.37916,0.69881,0.52732,0.32251,0.80352,0.31905,0.29158,0.13908,1.38794,3.85305,0.21928,0.92502,1.11248,0.00148809,0.00148809,0.00148809
32,44.8412,1.44316,3.13151,0.36846,1.02054,1.20471,0.39147,0.65714,0.53443,0.32091,0.24862,0.42024,0.25282,0.11904,1.40979,4.18094,0.18776,0.94328,1.10809,0.00153505,0.00153505,0.00153505
33,45.8919,1.44121,3.30478,0.36235,1.10103,1.17619,0.39147,0.65714,0.53443,0.32091,0.24862,0.42024,0.25282,0.11904,1.40979,4.18094,0.18776,0.94328,1.10809,0.00158191,0.00158191,0.00158191
34,46.977,1.40387,3.0599,0.3427,1.0638,1.15649,0.39859,0.65238,0.52672,0.31805,0.78537,0.30476,0.25426,0.12486,1.39807,4.01389,0.1901,0.94811,1.11199,0.00161254,0.00161254,0.00161254
35,48.0606,1.43705,3.14231,0.32242,1.05612,1.15738,0.93771,0.48571,0.52161,0.31637,0.80962,0.33333,0.29124,0.15593,1.40788,3.56281,0.20448,0.94008,1.13591,0.00161089,0.00161089,0.00161089
36,49.1781,1.44614,3.11138,0.3265,0.99513,1.16328,0.92712,0.47445,0.51882,0.30311,0.8261,0.34762,0.31935,0.15821,1.44402,3.41264,0.20861,0.94504,1.15739,0.00160924,0.00160924,0.00160924
37,50.224,1.42571,2.873,0.31588,1.02058,1.16961,0.92712,0.47445,0.51882,0.30311,0.8261,0.34762,0.31935,0.15821,1.44402,3.41264,0.20861,0.94504,1.15739,0.00160759,0.00160759,0.00160759
38,51.3157,1.37653,2.85897,0.34166,0.97245,1.14757,0.92039,0.47775,0.52464,0.31305,0.88615,0.32857,0.32285,0.15223,1.41409,3.46796,0.21579,0.94179,1.11638,0.00160594,0.00160594,0.00160594
39,52.4726,1.43511,3.05206,0.34354,0.98932,1.14171,0.92757,0.47143,0.52204,0.31638,0.86975,0.32445,0.32321,0.17094,1.39494,3.33555,0.20267,0.92725,1.09723,0.00160429,0.00160429,0.00160429
40,53.6807,1.33749,2.9161,0.32735,1.05216,1.11666,0.93897,0.47955,0.52312,0.3205,0.85873,0.35714,0.32255,0.16826,1.37521,3.25569,0.19758,0.91571,1.09797,0.00160264,0.00160264,0.00160264
41,54.8652,1.35981,2.69979,0.31198,0.9409,1.11627,0.93897,0.47955,0.52312,0.3205,0.85873,0.35714,0.32255,0.16826,1.37521,3.25569,0.19758,0.91571,1.09797,0.00160099,0.00160099,0.00160099
42,55.992,1.40774,2.82406,0.30303,0.99593,1.12039,0.9401,0.47143,0.51659,0.31779,0.85647,0.38095,0.32933,0.1665,1.34967,3.26399,0.19518,0.92677,1.10461,0.00159934,0.00159934,0.00159934
43,57.0941,1.42084,2.64592,0.32312,0.97801,1.2045,0.94818,0.45305,0.50936,0.31499,0.85396,0.35781,0.31718,0.16816,1.33575,3.18276,0.19608,0.92256,1.10499,0.00159769,0.00159769,0.00159769
44,58.1891,1.38986,2.69413,0.32428,0.92406,1.15192,0.4236,0.48095,0.51816,0.32084,0.82904,0.34762,0.2888,0.1549,1.32519,3.35076,0.19602,0.92432,1.10216,0.00159604,0.00159604,0.00159604
45,59.2576,1.39908,2.64966,0.30809,0.95842,1.14103,0.4236,0.48095,0.51816,0.32084,0.82904,0.34762,0.2888,0.1549,1.32519,3.35076,0.19602,0.92432,1.10216,0.00159439,0.00159439,0.00159439
46,60.3679,1.32351,2.72953,0.29544,0.96776,1.12693,0.3826,0.59531,0.51703,0.31937,0.82035,0.34286,0.28544,0.1444,1.32169,3.4896,0.20236,0.92403,1.09617,0.00159274,0.00159274,0.00159274
47,61.4759,1.40522,2.68751,0.2939,1.01184,1.14022,0.37701,0.61548,0.52594,0.31978,0.81292,0.34286,0.28926,0.15102,1.34707,3.48662,0.19563,0.92228,1.10832,0.00159108,0.00159108,0.00159108
48,62.564,1.39414,2.77517,0.37486,1.00337,1.195,0.93702,0.44762,0.51514,0.31452,0.82299,0.33889,0.3002,0.17218,1.39518,3.3038,0.18161,0.93761,1.1358,0.00158943,0.00158943,0.00158943
